Split,N,AnnRet,AnnVol,Sharpe,MaxDD,HAC-t,HAC-p
IS (2006-2014),106,-0.05270443390112478,0.21426089513770427,-0.3446318859237687,-0.7028699511651073,-0.846763979679115,0.3971266892082582
Validation (2015-2019),60,-0.01486636018134846,0.19176429866413872,-0.1814081366425613,-0.3386410909931993,-0.45196315728766645,0.6512955242926153
Test/OOS (2020-2024),60,-0.022421357926176055,0.20291411950416083,-0.20932057989780037,-0.4721230062876529,-0.454445837663514,0.6495079669796539
Full (2006-2024),226,-0.03476003035828268,0.20466979134165567,-0.26943600288611597,-0.8200568727051281,-1.0760093941201578,0.281923055077581
