Split,N,AnnRet,AnnVol,Sharpe,MaxDD,HAC-t,HAC-p
IS (2006-2014),106,0.09470444451685456,0.1575668664460179,0.45064956276237644,-0.5030641442636926,1.0908925101695637,0.27532018319226637
Validation (2015-2019),60,0.12381641367531748,0.12429542105369466,0.784268829437646,-0.14527209652000006,2.711411336490357,0.006699745620327253
Test/OOS (2020-2024),60,0.1630264732951845,0.18852746228042824,0.7010173625418222,-0.2482938371430179,1.8367453570606584,0.06624749600035014
Full (2006-2024),226,0.12024937967989646,0.15814766723327733,0.5960966197658931,-0.5030641442636926,2.530716087993697,0.011382994509045579
