date,strategy_net
2006-03-31,0.05387345672602076
2006-04-30,-0.009001040111096457
2006-05-31,-0.04492508438408789
2006-06-30,0.03532985778513604
2006-07-31,-0.022886667329737227
2006-08-31,-0.08920837766564392
2006-09-30,-0.03639311066142378
2006-10-31,0.013213895350309026
2006-11-30,-0.019995717343000787
2006-12-31,-0.009992944798711099
2007-01-31,0.028816275912602534
2007-02-28,0.01145138900568289
2007-03-31,0.03324455391309796
2007-04-30,-0.012195599602371215
2007-05-31,-0.008973397332611405
2007-06-30,0.004068900860731011
2007-07-31,0.007476551669804908
2007-08-31,0.03812848468266356
2007-09-30,0.06447814336141636
2007-10-31,0.036620924695891094
2007-11-30,0.08025479771567931
2007-12-31,0.10780686278629781
2008-01-31,-0.14230157829851522
2008-02-29,0.07772041552598662
2008-03-31,0.04687522733450292
2008-04-30,0.07504366929131381
2008-05-31,0.04022714142966695
2008-06-30,0.17608184624555623
2008-07-31,-0.09645132097735507
2008-08-31,-0.06415251841860552
2008-09-30,-0.05371029576252216
2008-10-31,-0.03244378732047032
2008-11-30,0.09472229579919313
2008-12-31,-0.06516940414335586
2009-01-31,0.02638320226661001
2009-02-28,0.0666698171379302
2009-03-31,-0.16788104265030027
2009-04-30,-0.31544854044828613
2009-05-31,-0.1707253977748312
2009-06-30,0.08435178108674793
2009-07-31,-0.09734838061519431
2009-08-31,-0.13078451480273282
2009-09-30,-0.08085507512873329
2009-10-31,0.03708428839824496
2009-11-30,0.02094426812099221
2009-12-31,0.021694927855030736
2010-01-31,-0.08027608205706854
2010-02-28,0.04521089277137933
2010-03-31,0.004021347755117749
2010-04-30,0.033762121395219065
2010-05-31,-0.02472693046020678
2010-06-30,-0.04958205868698405
2010-07-31,0.0004295324188908743
2010-08-31,-0.011843636625120415
2010-09-30,0.016304617194460906
2010-10-31,0.028768554405711577
2010-11-30,0.03125684314906557
2010-12-31,-0.08638053507176272
2011-01-31,-0.029603580788130163
2011-02-28,0.00011762346913969852
2011-03-31,0.012295619608063444
2011-04-30,-0.02835824507392334
2011-05-31,-0.005335948744279995
2011-06-30,0.03864195449075585
2011-07-31,0.05003066085348559
2011-08-31,0.019520670755528543
2011-09-30,0.0006788517900943418
2011-10-31,0.030047468861341478
2011-11-30,0.036384076581572555
2011-12-31,0.006362125369891164
2012-01-31,-0.09761871565326569
2012-02-29,-0.02423576159513082
2012-03-31,0.02201072145392121
2012-04-30,0.09778129285417189
2012-05-31,0.05734909854322835
2012-06-30,-0.04084540940423678
2012-07-31,0.03860574464204886
2012-08-31,-0.026819098668355437
2012-09-30,-0.019116485974135265
2012-10-31,-0.01626646190798053
2012-11-30,0.03348937688174499
2012-12-31,-0.036538677055118624
2013-01-31,-0.0007834818995512644
2013-02-28,0.022038117202523525
2013-03-31,0.019946803924816656
2013-04-30,-0.011712698279261389
2013-05-31,-0.0014912634010243535
2013-06-30,-0.012931413142391854
2013-07-31,0.03805299613885505
2013-08-31,-0.018604379771792474
2013-09-30,0.020691602886897708
2013-10-31,0.018949806569141643
2013-11-30,0.052101199008289335
2013-12-31,-0.014932069012945626
2014-01-31,-0.016705754712356566
2014-02-28,0.02180201047738124
2014-03-31,-0.02218875195473453
2014-04-30,-0.05069275112818996
2014-05-31,0.030256933523911685
2014-06-30,0.0024981310023478795
2014-07-31,-0.01436889599864797
2014-08-31,-0.009241326310604913
2014-09-30,0.006514451759712314
2014-10-31,-0.024017449086994987
2014-11-30,-0.006358010105945881
2014-12-31,-0.00411734884658352
2015-01-31,0.053991477117378346
2015-02-28,-0.06255088515378819
2015-03-31,0.04180467007953554
2015-04-30,-0.10324239272087761
2015-05-31,0.08530643608623328
2015-06-30,0.02787780565770586
2015-07-31,0.12182544594221763
2015-08-31,-0.005470023121866453
2015-09-30,0.0782943577816389
2015-10-31,-0.032839477809731316
2015-11-30,0.01100756051050146
2015-12-31,0.06235349249556451
2016-01-31,-0.0067492114175205925
2016-02-29,-0.050090597547309886
2016-03-31,-0.06402848792631537
2016-04-30,-0.1039367355363702
2016-05-31,0.022411032742069896
2016-06-30,0.05511492130614486
2016-07-31,-0.035646420632205085
2016-08-31,-0.07409866546278804
2016-09-30,-0.00815779126898088
2016-10-31,-0.006203141246046281
2016-11-30,-0.05979505168449203
2016-12-31,-0.003309660068684391
2017-01-31,-0.0077167068453856125
2017-02-28,-0.016474464843898317
2017-03-31,0.010069223132548235
2017-04-30,-0.007857952402756439
2017-05-31,0.05262635908667736
2017-06-30,-0.04321394376129101
2017-07-31,0.0364859189340637
2017-08-31,0.027063265947082686
2017-09-30,0.0229022566899311
2017-10-31,0.08507785397983593
2017-11-30,-0.06380760216370898
2017-12-31,-0.02994305852921261
2018-01-31,0.04705697768110368
2018-02-28,0.02308093471139122
2018-03-31,0.002092899512057384
2018-04-30,-0.022195992708884067
2018-05-31,0.03142184507440767
2018-06-30,-0.06246534540506142
2018-07-31,0.005672647920960772
2018-08-31,0.05481513378832914
2018-09-30,0.005187180197435042
2018-10-31,-0.06095977464940949
2018-11-30,-0.011166237600826877
2018-12-31,0.01835535271072878
2019-01-31,-0.0832161387842637
2019-02-28,0.010237574323502915
2019-03-31,0.025614920467489418
2019-04-30,-0.035093798159683005
2019-05-31,0.11946419807174681
2019-06-30,-0.06428748462712945
2019-07-31,0.008626457934258763
2019-08-31,0.11580191165646168
2019-09-30,-0.10426815678132223
2019-10-31,-0.024175754652617773
2019-11-30,-0.07398464693891502
2019-12-31,-0.05070476110869886
2020-01-31,0.05863810733456562
2020-02-29,0.01805940810996835
2020-03-31,0.13353782088017543
2020-04-30,-0.08971886492650373
2020-05-31,0.073549688218221
2020-06-30,-0.05671651955780927
2020-07-31,0.07824637018709617
2020-08-31,-0.046224636689711114
2020-09-30,0.024460630644598597
2020-10-31,0.0027013816558814456
2020-11-30,-0.19487916067570352
2020-12-31,-0.01622263039916544
2021-01-31,-0.019391501801092698
2021-02-28,-0.1514648549406973
2021-03-31,-0.03225283338602777
2021-04-30,-0.010819025781106717
2021-05-31,0.027818814505031254
2021-06-30,-0.03572685394154156
2021-07-31,-0.025638715944583904
2021-08-31,0.02890318445086164
2021-09-30,0.017976363362510628
2021-10-31,0.04901203960017534
2021-11-30,-0.012547820161908108
2021-12-31,-0.05758115559285948
2022-01-31,-0.029429014631065366
2022-02-28,0.02300351122901342
2022-03-31,0.023051705613852686
2022-04-30,0.02372333666988584
2022-05-31,0.05226742176969669
2022-06-30,0.032762873326637604
2022-07-31,-0.05423564164878615
2022-08-31,0.054008932231704096
2022-09-30,0.04174721671638681
2022-10-31,0.061669009223035545
2022-11-30,-0.07477243196775041
2022-12-31,0.02855779018599084
2023-01-31,-0.15417892242323988
2023-02-28,0.005744909564784138
2023-03-31,-0.024259882149838215
2023-04-30,0.00716211191720278
2023-05-31,0.0061407207463754655
2023-06-30,-0.016776200383800583
2023-07-31,-0.09547320003405534
2023-08-31,0.03186527142677321
2023-09-30,0.006458338696107636
2023-10-31,0.015960420865339525
2023-11-30,0.012583971103424834
2023-12-31,-0.06489018582073053
2024-01-31,0.07473713950956348
2024-02-29,0.05618311580486338
2024-03-31,-0.010942550353587207
2024-04-30,0.016552319123073006
2024-05-31,0.01092692136321041
2024-06-30,0.06987155962718666
2024-07-31,-0.038114731545096016
2024-08-31,0.036397057941745185
2024-09-30,0.005395242052312349
2024-10-31,0.026833171904436945
2024-11-30,0.016277812888345747
2024-12-31,-0.019333498294743724
