date,strategy_gross
2004-01-31,
2004-02-29,
2004-03-31,
2004-04-30,
2004-05-31,
2004-06-30,
2004-07-31,
2004-08-31,
2004-09-30,
2004-10-31,
2004-11-30,
2004-12-31,
2005-01-31,
2005-02-28,
2005-03-31,
2005-04-30,
2005-05-31,
2005-06-30,
2005-07-31,
2005-08-31,
2005-09-30,
2005-10-31,
2005-11-30,
2005-12-31,
2006-01-31,
2006-02-28,
2006-03-31,0.05487345672602076
2006-04-30,-0.008375888538398723
2006-05-31,-0.044521671596090794
2006-06-30,0.03589787890497498
2006-07-31,-0.022230302159974104
2006-08-31,-0.08873327610815837
2006-09-30,-0.03585407990054458
2006-10-31,0.013777021908377613
2006-11-30,-0.019348119713550934
2006-12-31,-0.009200094340225375
2007-01-31,0.029507717843784028
2007-02-28,0.012046646213370591
2007-03-31,0.03384397954223768
2007-04-30,-0.011596568548964275
2007-05-31,-0.00840042437713791
2007-06-30,0.004642759351406582
2007-07-31,0.008035643930679497
2007-08-31,0.03861351851589947
2007-09-30,0.0652931828409715
2007-10-31,0.03713878242978539
2007-11-30,0.08087927328089034
2007-12-31,0.1084784516778862
2008-01-31,-0.1418025088462394
2008-02-29,0.07833948526700868
2008-03-31,0.04740569537637711
2008-04-30,0.07560274397894975
2008-05-31,0.04066590646738723
2008-06-30,0.17652166522076146
2008-07-31,-0.0959755351420812
2008-08-31,-0.06369695730949684
2008-09-30,-0.05300288524432288
2008-10-31,-0.032129939602899
2008-11-30,0.09531667814890127
2008-12-31,-0.06420048287538711
2009-01-31,0.02693327476373529
2009-02-28,0.06728668487403852
2009-03-31,-0.16701308587804384
2009-04-30,-0.3148381310673677
2009-05-31,-0.17021170992440549
2009-06-30,0.08492997818697112
2009-07-31,-0.09680912689329996
2009-08-31,-0.1301934421443991
2009-09-30,-0.0800236771173155
2009-10-31,0.03769296503819676
2009-11-30,0.021814194520002876
2009-12-31,0.022693375717881818
2010-01-31,-0.07942100095593237
2010-02-28,0.04581663478935878
2010-03-31,0.004866232745060175
2010-04-30,0.034398355488979765
2010-05-31,-0.02426910010851902
2010-06-30,-0.04906982451635218
2010-07-31,0.0011403121238730413
2010-08-31,-0.01120768425872218
2010-09-30,0.01699892856893465
2010-10-31,0.029674555106131977
2010-11-30,0.0318304844609126
2010-12-31,-0.08572500301348919
2011-01-31,-0.029030784547425505
