Cost_bps,AnnRet,Vol,Sharpe,MaxDD,AvgTurnover
5,-0.024431867205482627,0.2066191312258485,-0.21551139611388961,-0.8016069336211931,0.5357162919557227
10,-0.027929838540106555,0.20661017413388505,-0.23286782393316197,-0.8123548957085478,0.5357162919557227
15,-0.03141630938979045,0.20660145734915725,-0.2502254656622742,-0.8226204479482603,0.5357162919557227
25,-0.03835488707679213,0.20658474482224634,-0.28494414899668896,-0.8415059954852699,0.5357162919557227
