date,ticker,in_index
2005-01-31,ITW,1
2005-01-31,IVZ,1
2005-01-31,J,1
2005-01-31,JBL,1
2005-01-31,JCI,1
2005-01-31,JCP,1
2005-01-31,JDSU,1
2005-01-31,JEF,1
2005-01-31,JNJ,1
2005-01-31,JNS,1
2005-01-31,JNY,1
2005-01-31,JOY,1
2005-01-31,JPM,1
2005-01-31,JWN,1
2005-01-31,K,1
2005-01-31,KBH,1
2005-01-31,KEY,1
2005-01-31,KG,1
2005-01-31,KIM,1
2005-01-31,KLAC,1
2005-01-31,KMB,1
2005-01-31,KO,1
2005-01-31,KR,1
2005-01-31,KSE,1
2005-01-31,KSS,1
2005-01-31,L,1
2005-01-31,LEG,1
2005-01-31,LEH,1
2005-01-31,LEN,1
2005-01-31,LH,1
2005-01-31,LHX,1
2005-01-31,LIFE,1
2005-01-31,LIN,1
2005-01-31,LLL,1
2005-01-31,LLTC,1
2005-01-31,LLY,1
2005-01-31,LM,1
2005-01-31,LMT,1
2005-01-31,LNC,1
2005-01-31,LOW,1
2005-01-31,LSI,1
2005-01-31,LUMN,1
2005-01-31,LUV,1
2005-01-31,LXK,1
2005-01-31,M,1
2005-01-31,MA,1
2005-01-31,MAR,1
2005-01-31,MAS,1
2005-01-31,MAT,1
2005-01-31,MBI,1
2005-01-31,MCD,1
2005-01-31,MCHP,1
2005-01-31,MCK,1
2005-01-31,MCO,1
2005-01-31,MDP,1
2005-01-31,MDT,1
2005-01-31,MET,1
2005-01-31,META,1
2005-01-31,MFE,1
2005-01-31,MHS,1
2005-01-31,MI,1
2005-01-31,MIL,1
2005-01-31,MKC,1
2005-01-31,MMM,1
2005-01-31,MO,1
2005-01-31,MOLX,1
2005-01-31,MON,1
2005-01-31,MRK,1
2005-01-31,MRO,1
2005-01-31,MRSH,1
2005-01-31,MS,1
2005-01-31,MSFT,1
2005-01-31,MSI,1
2005-01-31,MTB,1
2005-01-31,MU,1
2005-01-31,MUR,1
2005-01-31,MWW,1
2005-01-31,MXIM,1
2005-01-31,NBL,1
2005-01-31,NBR,1
2005-01-31,NCR,1
2005-01-31,NDAQ,1
2005-01-31,NE,1
2005-01-31,NEE,1
2005-01-31,NEM,1
2005-01-31,NI,1
2005-01-31,NKE,1
2005-01-31,NOC,1
2005-01-31,NOV,1
2005-01-31,NOVL,1
2005-01-31,NRG,1
2005-01-31,NSC,1
2005-01-31,NSM,1
2005-01-31,NTAP,1
2005-01-31,NTRS,1
2005-01-31,NUE,1
2005-01-31,NVDA,1
2005-01-31,NVLS,1
2005-01-31,NWL,1
2005-01-31,NYT,1
2005-01-31,NYX,1
2005-01-31,ODP,1
2005-01-31,OKE,1
2005-01-31,OMC,1
2005-01-31,OMX,1
2005-01-31,ORCL,1
2005-01-31,ORLY,1
2005-01-31,OXY,1
2005-01-31,PAYX,1
2005-01-31,PBCT,1
2005-01-31,PBI,1
2005-01-31,PCAR,1
2005-01-31,PCG,1
2005-01-31,PCL,1
2005-01-31,PCP,1
2005-01-31,PDCO,1
2005-01-31,PEG,1
2005-01-31,PEP,1
2005-01-31,PFE,1
2005-01-31,PFG,1
2005-01-31,PG,1
2005-01-31,PGN,1
2005-01-31,PGR,1
2005-01-31,PH,1
2005-01-31,PHM,1
2005-01-31,PLD,1
2005-01-31,PLL,1
2005-01-31,PM,1
2005-01-31,PNC,1
2005-01-31,PNW,1
2005-01-31,POM,1
2005-01-31,PPG,1
2005-01-31,PPL,1
2005-01-31,PRU,1
2005-01-31,PSA,1
2005-01-31,PSKY,1
2005-01-31,PTV,1
2005-01-31,PWR,1
2005-01-31,PXD,1
2005-01-31,Q,1
2005-01-31,QCOM,1
2005-01-31,R,1
2005-01-31,RAI,1
2005-01-31,RDC,1
2005-01-31,RF,1
