Split,N,AnnRet,AnnVol,Sharpe,MaxDD,HAC-t,HAC-p
IS (2006-2014),118,-0.01441309877764152,0.14787801378292778,-0.23213845371638647,-0.3460113163160192,-0.9187863664382506,0.3582073249158291
Validation (2015-2019),60,0.07346897774568673,0.12721822009083028,0.4031364416895435,-0.15107909889897098,1.0815746751431177,0.27944156252844554
Test/OOS (2020-2024),60,-0.0054953354226117135,0.18688119010091941,-0.13553103390386936,-0.2357503365492759,-0.4726423569924429,0.6364683578604533
Full (2006-2024),238,0.009383297920220857,0.15371283479731288,-0.06815170628811285,-0.3460113163160192,-0.40317422712359324,0.6868200581718036
