date,reversal_net
2005-03-31,0.02800270785046877
2005-04-30,0.0026875761612493035
2005-05-31,0.011771664977353654
2005-06-30,0.021198350045439733
2005-07-31,0.03189891839658505
2005-08-31,-0.017146643331754835
2005-09-30,-0.03887533750256487
2005-10-31,-0.00496128703449082
2005-11-30,-0.0014006775700045515
2005-12-31,0.004263857161451931
2006-01-31,-0.031131639657118786
2006-02-28,0.023903162893674425
2006-03-31,-0.003232020596649219
2006-04-30,-0.010443550913374438
2006-05-31,0.031061002288828538
2006-06-30,-0.010466615230759306
2006-07-31,0.0059373843018009145
2006-08-31,0.04003394258248152
2006-09-30,-0.020782292109309604
2006-10-31,0.005502854468086042
2006-11-30,-0.021625786434615945
2006-12-31,0.009510449398240632
2007-01-31,0.006243878823246209
2007-02-28,0.02618087705994434
2007-03-31,-0.025641403867473482
2007-04-30,-0.008999899534782902
2007-05-31,-0.005660187163590448
2007-06-30,-0.053454884830394366
2007-07-31,-0.05985687091473752
2007-08-31,-0.04205561520764591
2007-09-30,-0.023878604084637316
2007-10-31,-0.0893208113712647
2007-11-30,-0.004546324803182943
2007-12-31,-0.056241793737522625
2008-01-31,0.10717866782500687
2008-02-29,0.0794237236742206
2008-03-31,0.0263792304728491
2008-04-30,0.010192619320274997
2008-05-31,-0.029669797693173454
2008-06-30,-0.11001363288218086
2008-07-31,0.1475496881183531
2008-08-31,-0.02592030407464293
2008-09-30,-0.040869017675671665
2008-10-31,-0.0750208900810925
2008-11-30,-0.026006913632741505
2008-12-31,0.06854765899080932
2009-01-31,0.029336087138030972
2009-02-28,-0.12224245210242718
2009-03-31,0.0428911226053478
2009-04-30,-0.0697692520792609
2009-05-31,-0.0003224514379279776
2009-06-30,0.05904013311295851
2009-07-31,0.03726212595985983
2009-08-31,-0.010487801398883372
2009-09-30,-0.01682560394906249
2009-10-31,0.06368156761091029
2009-11-30,-0.021631051715599252
2009-12-31,0.029636422430148062
2010-01-31,0.0881646913396594
2010-02-28,0.000331330942600663
2010-03-31,-0.03463461993630492
2010-04-30,-0.0363091029271502
2010-05-31,-0.006730736213939491
2010-06-30,-0.053995436465617525
2010-07-31,0.04103309831112124
2010-08-31,0.04176319533940845
2010-09-30,0.06674511702257349
2010-10-31,-0.025568949691148826
2010-11-30,-0.014422622192506469
2010-12-31,0.02619376137996584
2011-01-31,0.0048342932886963575
2011-02-28,-0.002625023332980413
2011-03-31,0.011509132405167795
2011-04-30,0.009288599965157712
2011-05-31,-0.03289949268106027
2011-06-30,0.01520989852855707
2011-07-31,-0.0295423804792576
2011-08-31,-0.01197884997520579
2011-09-30,-0.10842985863181345
2011-10-31,0.1464745795852014
2011-11-30,-0.027227081116566115
2011-12-31,-0.015022432689145066
2012-01-31,0.046825247823153796
2012-02-29,-0.02603672589053333
2012-03-31,-0.003517857664094455
2012-04-30,0.006169623847806972
2012-05-31,-0.027617419258372928
2012-06-30,0.018788449767195924
2012-07-31,0.01402576361892359
2012-08-31,0.0089994752832702
2012-09-30,-0.030434394468962577
2012-10-31,-0.029103129138734366
2012-11-30,0.02853116193092071
2012-12-31,0.018446326638378942
2013-01-31,-0.007518289326183288
2013-02-28,-0.005300808125007233
2013-03-31,-0.05008680964109304
2013-04-30,0.003496222942006704
2013-05-31,0.05325692743610331
2013-06-30,0.008461757228176684
2013-07-31,0.028802422375468015
2013-08-31,-0.02454843248053995
2013-09-30,-0.007957091347842301
2013-10-31,-0.0034440774388255265
2013-11-30,-0.015341105436617658
2013-12-31,0.0039385206252742595
2014-01-31,-0.014429797053153592
2014-02-28,0.010602585073528204
2014-03-31,0.03598120106767545
2014-04-30,-0.015658206246435314
2014-05-31,0.012960240216930268
2014-06-30,-0.01804656026467872
2014-07-31,0.023522782895922432
2014-08-31,-0.0020505149491989597
2014-09-30,-0.021767615075266093
2014-10-31,-0.005006039924048942
2014-11-30,-0.07047854337982717
2014-12-31,-0.010114441206292953
2015-01-31,-0.033472827297236316
2015-02-28,0.05516857768841346
2015-03-31,-0.0015715173961094462
2015-04-30,0.08846609124235588
2015-05-31,0.029908852855456206
2015-06-30,-0.041031277161350764
2015-07-31,-0.04614586938153123
2015-08-31,-0.0063922665600915606
2015-09-30,-0.031139044242775634
2015-10-31,0.02878316579603576
2015-11-30,-0.0006117156614021623
2015-12-31,-0.015595009050600449
2016-01-31,-0.047483535620805754
2016-02-29,0.009968916820490685
2016-03-31,0.05069554464696551
2016-04-30,-0.022981265053077484
2016-05-31,0.014649469539418626
2016-06-30,0.03296424992261104
2016-07-31,0.08449244423462368
2016-08-31,-0.01775380370006651
2016-09-30,-0.012497385158352215
2016-10-31,0.0004767133501525668
2016-11-30,-0.023969558829757442
2016-12-31,0.009653992756754198
2017-01-31,0.015650269932710452
2017-02-28,-0.011739415948606896
2017-03-31,0.011219073026749238
2017-04-30,-0.0231380172022712
2017-05-31,-0.06343600973847849
2017-06-30,0.054599039417757206
2017-07-31,0.028484743212136374
2017-08-31,-0.0469179773190235
2017-09-30,0.01457014078848159
2017-10-31,-0.0009012582326419329
2017-11-30,0.02066683804991547
2017-12-31,-0.024065404966165292
2018-01-31,-0.018704666933701326
2018-02-28,-0.02958811097400922
2018-03-31,-0.0016172893930746562
2018-04-30,-0.0009519333902554431
2018-05-31,0.02498354193943239
2018-06-30,0.012411617009276602
2018-07-31,0.03831399758545121
2018-08-31,-0.015356596385173999
2018-09-30,-0.021528241796795654
2018-10-31,0.015011842930415931
2018-11-30,-0.004777511824629529
2018-12-31,0.005988228883398519
2019-01-31,0.10546604376159512
2019-02-28,-0.008058193846918084
2019-03-31,-0.023719931897541877
2019-04-30,0.018323774117157087
2019-05-31,0.027492118679679847
2019-06-30,0.09379472371687954
2019-07-31,0.005270246302680597
2019-08-31,-0.04726570068067968
2019-09-30,0.07711089413689187
2019-10-31,0.02433615025316354
2019-11-30,-0.019009357313160495
2019-12-31,0.01802577130890255
2020-01-31,0.06443485207962939
2020-02-29,-0.023634237091062753
2020-03-31,-0.21725065289696818
2020-04-30,0.14858424253149305
2020-05-31,-0.015289350592461554
2020-06-30,0.048390028784152314
2020-07-31,0.00882518534921931
2020-08-31,0.014895733709294933
2020-09-30,-0.010165256421313164
2020-10-31,-0.047346771773471796
2020-11-30,0.04337646766654088
2020-12-31,-0.037543740414709134
2021-01-31,0.020289233848746684
2021-02-28,0.06452492435407815
2021-03-31,0.06298223690284308
2021-04-30,-0.007527397318128643
2021-05-31,0.025687320338421936
2021-06-30,0.04407350084443489
2021-07-31,-0.07947473102140605
2021-08-31,-0.014484539527355613
2021-09-30,0.03018451090521839
2021-10-31,-0.0159275876923501
2021-11-30,-0.05693843855739077
2021-12-31,0.016101926658946313
2022-01-31,-0.03926844330367545
2022-02-28,-0.018781957000874504
2022-03-31,-0.022872556647461916
2022-04-30,-0.0191321269323036
2022-05-31,0.025250708633088544
2022-06-30,0.021923519588436323
2022-07-31,0.06497589880631396
2022-08-31,0.02941156415954787
2022-09-30,-0.03139891090846367
2022-10-31,-0.030608503365752004
2022-11-30,0.025391435113405296
2022-12-31,-0.01678198643220909
2023-01-31,0.1269655176307032
2023-02-28,-0.0226169821236643
2023-03-31,-0.03234435733650203
2023-04-30,-0.009413839286958619
2023-05-31,0.05314126305134883
2023-06-30,-0.011404243710755381
2023-07-31,0.00013468775703056788
2023-08-31,0.010964804320732654
2023-09-30,-0.03095641220564955
2023-10-31,-0.07789908119113154
2023-11-30,0.06044461247469943
2023-12-31,-0.057827853642817915
2024-01-31,0.04745580503729718
2024-02-29,-0.004179199150590295
2024-03-31,0.01787571278522781
2024-04-30,-0.05497116438880699
2024-05-31,-0.024155873402010128
2024-06-30,0.01900737761568895
2024-07-31,0.05781519194265038
2024-08-31,-0.015640289650235412
2024-09-30,-0.008598638191209923
2024-10-31,-0.030135636646579148
2024-11-30,-0.09489884886570853
2024-12-31,-0.0011847816441624911
